,Seq_ID	CDC1_Hap_1	CDC1_Hap_2	CDC1_Hap_3	CDC1_Hap_4	CDC2_Hap_1	CDC2_Hap_2	CDC2_Hap_3	CDC2_Hap_4	CDC3_Hap_1	CDC3_Hap_2	CDC3_Hap_3	CDC3_Hap_4	CDC4_Hap_1	CDC4_Hap_2	CDC4_Hap_3	CDC4_Hap_4	378_PART_A_Hap_1	378_PART_A_Hap_2	378_PART_A_Hap_3	378_PART_A_Hap_4	378_PART_A_Hap_5	378_PART_A_Hap_6	378_PART_A_Hap_7	378_PART_A_Hap_8	378_PART_A_Hap_9	378_PART_A_Hap_10	378_PART_B_Hap_1	378_PART_B_Hap_2	378_PART_B_Hap_3	378_PART_B_Hap_4	378_PART_B_Hap_5	378_PART_B_Hap_6	378_PART_C_Hap_1	378_PART_C_Hap_2	378_PART_C_Hap_3	378_PART_C_Hap_4	378_PART_C_Hap_5	378_PART_C_Hap_6	378_PART_C_Hap_7	378_PART_C_Hap_8	360i2_PART_A_Hap_1	360i2_PART_A_Hap_2	360i2_PART_A_Hap_3	360i2_PART_A_Hap_4	360i2_PART_A_Hap_5	360i2_PART_A_Hap_6	360i2_PART_B_Hap_1	360i2_PART_B_Hap_2	360i2_PART_B_Hap_3	360i2_PART_B_Hap_4	360i2_PART_B_Hap_5	360i2_PART_B_Hap_6	360i2_PART_B_Hap_7	360i2_PART_B_Hap_8	360i2_PART_B_Hap_9	360i2_PART_B_Hap_10	360i2_PART_C_Hap_1	360i2_PART_C_Hap_2	360i2_PART_C_Hap_3	360i2_PART_C_Hap_4	360i2_PART_C_Hap_5	360i2_PART_C_Hap_6	360i2_PART_C_Hap_7	360i2_PART_C_Hap_8	360i2_PART_D_Hap_1	360i2_PART_D_Hap_2	360i2_PART_D_Hap_3	360i2_PART_D_Hap_4	360i2_PART_D_Hap_5	360i2_PART_D_Hap_6	Junction_Hap_1	Junction_Hap_2	Junction_Hap_3	Junction_Hap_4	Junction_Hap_5	Junction_Hap_6	Junction_Hap_7	Junction_Hap_8	Junction_Hap_9	Junction_Hap_10	Junction_Hap_11	Junction_Hap_12	Junction_Hap_13	Junction_Hap_14	Junction_Hap_15	Junction_Hap_16	Junction_Hap_17	Junction_Hap_18	Junction_Hap_19	Junction_Hap_20	Junction_Hap_21	Junction_Hap_22	Junction_Hap_23	Junction_Hap_24	MSR_Left_Hap_1	MSR_Left_Hap_2	MSR_Left_Hap_3	MSR_Left_Hap_4	MSR_Left_Hap_5	MSR_Left_Hap_6	MSR_Left_Hap_7	MSR_Left_Hap_8	MSR_Right_Hap_1	MSR_Right_Hap_2	MSR_Right_Hap_3	MSR_Right_Hap_4	MSR_Right_Hap_5	MSR_Right_Hap_6	MSR_Right_Hap_7	MSR_Right_Hap_8
84,C_IA089_18																																																																														X																	X								X							
85,C_IA090_18		X				X			X					X							X	X						X							X						X						X										X	X							X								X																						X									X						
86,C_IA060_18					X				X					X																											X						X										X	X							X																														X								X							
87,C_IA096_18																																																																																							X																							
88,C_IA088_18																																									X						X										X								X																						X								X								X							
89,C_IA101_18																																																																									X																						X															
90,C_IA099_18		X			X				X											X			X					X					X	X							X						X										X	X							X																						X								X								X							
91,C_IA122_18																																																																																							X																							
92,C_IA120_18																																																																																							X																							
93,C_IA121_18																				X								X						X							X						X										X	X							X																														X								X							
94,C_IA123_18																																																																																							X								X															
95,C_IA118_18																																																																																							X								X															
96,C_IA124_18																																																																																							X								X															
97,C_IA104_18		X			X				X					X						X			X					X					X	X	X						X						X										X	X							X																						X								X								X							
